username,phone,email,birthday,group,phone_type
aibek_dzhaksybekov,+7-701-234-5678,aibek.dzhaksybekov@gmail.com,1990-03-15,Friend,mobile
dinara_seitkali,+7-702-345-6789,dinara.seitkali@mail.ru,1993-07-22,Work,work
nurlan_abenov,+7-705-456-7890,nurlan.abenov@gmail.com,1988-11-05,Work,mobile
aigul_bekova,+7-707-567-8901,aigul.bekova@yandex.ru,1995-01-30,Family,home
kanat_suleimenov,+7-708-678-9012,kanat.suleimenov@gmail.com,1987-06-18,Friend,mobile
zarina_alimova,+7-701-789-0123,zarina.alimova@mail.ru,1992-09-11,Friend,mobile
yerlan_ospanov,+7-702-890-1234,yerlan.ospanov@gmail.com,1985-04-27,Work,work
madina_jumanova,+7-705-901-2345,madina.jumanova@yandex.ru,1997-12-03,Family,home
dauren_kenzhebek,+7-707-012-3456,dauren.kenzhebek@gmail.com,1991-08-14,Friend,mobile
gulnara_tashkentova,+7-708-123-4567,gulnara.tashkentova@mail.ru,1989-02-09,Family,work
